Budget-Cleaned,Rating-Cleaned,Runtime-Cleaned,Num-of-Ratings-Cleaned,Gross-in-US-&-Canada-Cleaned,Gross-worldwide-Cleaned,Action,Adventure,Biography,Drama,Crime,Animation,Comedy,Family,Horror,Mystery,Thriller,History,Fantasy,Sci-Fi,Romance,Music,Sport,Musical,Documentary,War,Western,Film-Noir,Release-Year
4500000.0,7.1,95.0,106000.0,4.8299436E7,9.1937138E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022.0
1.25E8,7.6,152.0,835000.0,3.18886962E8,1.024264477E9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2001.0
3.50057874E7,6.5,108.8,99857.5,4.68098964E7,8.71224586E7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2024.0
3.50057874E7,5.5,92.0,1500.0,4.68098964E7,8.71224586E7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023.0
6000000.0,9.2,175.0,2000000.0,1.36381073E8,2.50341816E8,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1972.0
3.50057874E7,6.5,115.0,311.0,4.68098964E7,8.71224586E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023.0
1.0E8,7.7,169.0,302000.0,1.87131806E8,4.40146694E8,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023.0
3.50057874E7,6.6,106.0,2300.0,4.68098964E7,8.71224586E7,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023.0
1.65E8,8.7,169.0,2000000.0,1.88020017E8,7.29059232E8,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014.0
1.23E8,6.3,104.0,275000.0,2.60715005E8,3.45823032E8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0
3.0E7,6.9,105.0,18000.0,1.3925356E7,2.0212934E7,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023.0
3.50057874E7,4.8,95.0,1500.0,4.68098964E7,8.71224586E7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023.0
1.6E8,6.5,137.0,358000.0,2.81723902E8,6.61456563E8,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0
3.50057874E7,6.5,108.8,99857.5,4.68098964E7,8.71224586E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024.0
3.50057874E7,6.5,108.8,99857.5,4.68098964E7,8.71224586E7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024.0
7.5E7,6.4,85.0,82000.0,2.71384731E8,5.26760632E8,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018.0
1.65E8,6.6,100.0,230000.0,1.89528738E8,3.16897787E8,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0
3.50057874E7,7.0,99.0,14000.0,546626.0,803658.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023.0
1.25E8,6.6,123.0,487000.0,3.37135885E8,7.55357103E8,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014.0
