:Budget-Cleaned,:Rating-Cleaned,:Runtime-Cleaned,:Num-of-Ratings-Cleaned,:Gross-in-US-&-Canada-Cleaned,:Gross-worldwide-Cleaned,:Action,:Adventure,:Biography,:Drama,:Crime,:Animation,:Comedy,:Family,:Horror,:Mystery,:Thriller,:History,:Fantasy,:Sci-Fi,:Romance,:Music,:Sport,:Musical,:Documentary,:War,:Western,:Film-Noir,:Release-Year
2.5E8,7.9,150,347000,3.58995815E8,8.45555777E8,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023
2.947E8,6.6,154,143000,1.74480468E8,3.83963057E8,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2023
2777000.0,8.1,102,420000,2.4668669E7,2.5637669E7,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1939
6.0E7,7.2,134,60000,4.4428554E7,1.21680477E8,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023
1.3E8,7.0,124,633000,1.26477084E8,4.03354469E8,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2012
,7.6,124,6600,,8.332927E7,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023
1.0E8,7.1,92,206000,5.7493433E8,1.361976691E9,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023
1.0E8,4.8,103,26000,1.6710153E7,3.7962629E7,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2023
1.0E8,8.2,180,1500000,1.16900694E8,4.06878233E8,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
7.5E7,7.1,124,205000,1.29360575E8,2.04334455E8,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2021
,5.1,96,6300,,,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2023
,5.6,101,1100,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023
,7.2,113,3200,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2023
7.0E7,7.6,127,281000,3.8634938E7,1.3751514E8,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2007
8500000.0,7.8,117,589000,3.2381217E7,4.7425835E7,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2014
,5.1,100,2000,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2022
2.0E7,5.6,107,5500,1.755634E7,2.8986713E7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023
1.33E7,6.3,108,154000,2614251.0,5968016.0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2013
5.7E7,7.5,144,394000,6.094466E7,1.5294466E8,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1997
1.5E8,7.9,127,616000,2.57730019E8,3.85680446E8,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2009
2.5E7,8.1,140,491000,1.3657115E7,2.3308615E7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2011
1.4E8,6.0,150,176000,6.5014513E7,2.68175631E8,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014
850000.0,7.6,102,111000,25259.0,114252.0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1973
4240000.0,7.1,119,279000,9077245.0,1.7581104E7,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2015
9.7E7,8.1,137,811000,2.26277068E8,6.1917995E8,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2017
1.55E7,7.1,96,266000,2.3216709E7,9.64093E7,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2008
3.0E8,7.9,242,428000,,,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2021
2.0E8,5.2,143,157000,1.73005945E8,7.26229501E8,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2021
2.3E7,7.1,92,151000,6.0060328E7,7.649072E7,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003
4500000.0,7.6,97,78000,1.0609321E7,1.0609321E7,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985
